date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,0,23,Unión,Mauro Pittón,-0.29,-0.57,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,0,36,Independiente Riv. (M),Tobías Ostchega,-0.17,-0.76,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,9,56,Unión,Nicolás Paz,0.46,-0.5,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,10,55,Unión,Federico Vera,0.51,-0.63,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,11,1,Independiente Riv. (M),Tomás Palacios,0.56,-0.74,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,11,39,Unión,Mauro Pittón,0.67,-0.66,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,16,7,Independiente Riv. (M),Franco Romero,-0.65,-0.7,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,20,59,Independiente Riv. (M),Franco Romero,-0.36,0.17,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,21,17,Independiente Riv. (M),Tomás Palacios,-0.64,-0.72,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,24,50,Unión,Franco Pardo,-0.12,0.08,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,25,28,Unión,Franco Pardo,0.54,0.18,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,25,19,Independiente Riv. (M),Victorio Ramis,0.33,0.85,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,29,45,Unión,Claudio Corvalán,0.24,0.27,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,32,36,Unión,Mauro Pittón,-0.07,-0.31,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,35,6,Unión,Bruno Pittón,0.77,0.6,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,34,46,Independiente Riv. (M),Matías Reali,0.21,-0.25,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,35,59,Unión,Bruno Pittón,0.49,0.59,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,38,5,Unión,Simón Rivero,0.28,-0.44,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,40,11,Unión,Simón Rivero,0.36,0.24,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,45,58,Independiente Riv. (M),Franco Romero,-0.62,-0.81,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,1,46,39,Unión,Bruno Pittón,0.72,0.7,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,49,20,Independiente Riv. (M),Tomás Palacios,0.54,0.77,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,49,46,Independiente Riv. (M),Lautaro Ríos,-0.11,-0.27,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,55,45,Unión,Claudio Corvalán,0.08,-0.37,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,55,41,Independiente Riv. (M),Franco Romero,0.19,0.17,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,56,55,Independiente Riv. (M),Tobías Ostchega,0.35,0.76,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,70,37,Independiente Riv. (M),Antonio Napolitano,-0.18,-0.72,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,71,56,Independiente Riv. (M),Mauricio Asenjo,-0.26,-0.68,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,74,23,Unión,Federico Vera,-0.49,0.69,-1.0,,,,,
04-06-2024,20:00,Independiente Riv. (M),Unión,Argentina - Torneo Betano 2024,Malvinas Argentinas,steal,2,75,18,Unión,Nicolás Paz,-0.81,0.58,-1.0,,,,,
